Date,Bus (inter-region),BTS,BKK Airport,Regional Airports,Highway,Bus (bkk)
19/3/2021,"62,129","1,603,763","756,473","617,638","15,609","15,574"
20/3/2021,"52,073","1,403,960","627,214","419,946","13,620","12,880"
21/3/2021,"58,507","1,217,777","566,466","328,719","12,864","16,995"
22/3/2021,"52,521","1,508,486","709,423","570,444","12,234","14,104"
23/3/2021,"49,540","1,514,494","734,537","593,405","10,874","12,003"
24/3/2021,"48,797","1,568,212","728,025","601,950","12,137","12,218"
25/3/2021,"52,669","1,615,855","742,451","599,846","14,106","12,798"
26/3/2021,"73,143","1,691,431","747,396","647,765","17,354","15,130"
27/3/2021,"66,697","1,461,576","640,898","446,749","16,418","12,861"
28/3/2021,"68,272","1,300,454","565,961","351,613","15,119","19,496"
29/3/2021,"58,026","1,570,658","734,956","600,696","13,094","18,114"
30/3/2021,"52,905","1,731,769","733,106","603,155","11,194","14,733"
31/3/2021,"46,689","1,600,539","732,762","623,032","13,051","13,787"
1/4/2021,"54,445","1,606,974","741,488","622,289","16,179","15,696"
2/4/2021,"70,366","1,666,371","750,515","666,970","17,804","17,759"
3/4/2021,"60,124","1,430,736","637,871","437,272","18,074","16,200"
4/4/2021,"69,317","1,187,630","561,725","311,726","17,242","20,364"
5/4/2021,"60,306","1,559,584","730,140","585,224","15,515","17,756"
6/4/2021,"58,385","1,375,798","532,786","345,577","16,345","18,010"
7/4/2021,"58,906","1,553,213","675,161","551,114","17,039","16,126"
8/4/2021,"71,885","1,477,656","684,640","487,182","19,613","15,549"
9/4/2021,"101,077","1,686,255","642,445","460,112","18,555","15,840"
10/4/2021,"101,477","1,278,074","500,641","247,013","18,484","12,887"
11/4/2021,"70,140","902,958","398,638","172,952","16,380","10,904"
12/4/2021,"60,013","929,737","422,844","226,598","13,618","9,881"
13/4/2021,"54,408","827,617","294,212","141,556","11,222","11,041"
14/4/2021,"59,808","845,965","319,318","136,764","9,206","14,537"
15/4/2021,"64,993","957,321","330,336","144,507","7,834","16,509"
16/4/2021,"63,546","998,610","448,461","246,320","6,280","15,469"
17/4/2021,"62,501","844,905","405,317","177,834","5,524","16,048"
18/4/2021,"61,356","763,886","370,140","153,237","5,797","17,049"
19/4/2021,"51,525","1,127,556","553,751","308,504","4,111","10,485"
20/4/2021,"41,814","1,121,187","536,888","291,060","3,748","8,509"
21/4/2021,"33,459","1,099,776","521,456","284,643","2,781","5,688"
22/4/2021,"31,489","1,172,759","524,058","280,759","2,739","4,783"
23/4/2021,"32,425","1,108,324","521,870","285,767","2,568","4,714"
24/4/2021,"28,844","914,072","419,063","178,578","2,397","3,875"
25/4/2021,"27,472","678,044","346,305","138,523","2,712","5,237"
26/4/2021,"27,701","1,041,714","481,172","251,146","2,020","3,213"
27/4/2021,"24,855","1,020,511","454,368","236,252","1,749","2,377"
28/4/2021,"23,981","1,005,653","457,977","237,715","2,061","2,466"
29/4/2021,"22,969","1,094,017","444,526","237,434","1,832","2,785"
30/4/2021,"26,363","1,232,211","465,033","256,773","2,820","3,317"
1/5/2021,"21,378","686,568","276,808","124,804","2,582","2,154"
2/5/2021,"21,529","605,145","283,136","109,625","1,819","2,694"
3/5/2021,"22,280","809,098","381,976","148,244","1,394","1,722"
4/5/2021,"20,139","865,429","314,696","135,974","1,696","2,481"
5/5/2021,"18,693","1,118,253","440,800","235,095","1,120","1,703"
6/5/2021,"15,080","1,056,996","411,080","215,873","1,288","1,240"
7/5/2021,"15,756","1,089,949","428,304","224,454","1,172","2,128"
8/5/2021,"15,313","848,757","334,814","133,330","1,064","1,432"
9/5/2021,"15,908","627,416","280,017","104,513","1,335","2,271"
10/5/2021,"15,158","1,063,899","362,432","202,348","1,131","2,086"
11/5/2021,"14,798","1,053,890","410,988","220,034","1,559","1,123"
12/5/2021,"14,509","1,046,221","405,233","217,925","1,316","1,515"
13/5/2021,"14,329","1,073,466","397,022","212,322","1,249","1,237"
14/5/2021,"15,033","1,106,671","417,018","219,999","1,561","2,510"
15/5/2021,"14,502","838,206","328,754","132,424","1,612","1,618"
16/5/2021,"16,054","650,445","279,535","107,870","1,505","3,237"
17/5/2021,"15,299","1,060,226","433,266","231,694",960,"1,838"
18/5/2021,"15,031","1,057,843","424,688","225,047","1,335","1,134"
19/5/2021,"14,553","1,160,585","413,006","228,487","1,311","1,942"
20/5/2021,"14,857","985,445","430,386","227,333","1,162","1,281"
21/5/2021,"17,643","1,109,989","432,751","236,832","1,600","3,414"
22/5/2021,"14,683","897,907","355,984","149,337","1,369","1,266"
23/5/2021,"16,052","695,542","283,270","119,141","1,603","3,449"
24/5/2021,"15,586","1,075,903","439,964","244,222",936,"2,173"
25/5/2021,"15,280","1,150,228","433,560","247,384","1,298","1,277"
26/5/2021,"14,582","855,435","299,049","142,435","1,613","2,681"
27/5/2021,"15,092","1,124,189","418,462","247,355","1,269","1,377"
28/5/2021,"18,007","1,159,150","433,361","255,253","1,779","3,478"
29/5/2021,"15,288","944,464","352,788","167,144","1,561","1,552"
30/5/2021,"17,060","767,717","308,742","146,477","1,866","3,937"
31/5/2021,"16,721","1,136,660","459,301","271,048","1,226","2,264"
1/6/2021,"15,580","1,125,703","464,962","270,018","1,977","1,965"
2/6/2021,"17,532","1,240,906","463,946","269,893","1,553","3,036"
3/6/2021,"16,114","982,699","317,248","158,937","2,642","2,153"
4/6/2021,"20,216","1,240,667","449,375","270,443","2,437","3,157"
5/6/2021,"19,272","989,993","373,047","174,305","2,075","2,454"
6/6/2021,"19,562","815,525","316,918","141,718","2,490","4,446"
7/6/2021,"17,976","1,171,465","459,644","272,071","1,632","2,880"
8/6/2021,"17,535","1,150,755","452,831","261,675","1,828","2,164"
9/6/2021,"19,027","1,166,386","447,951","264,390","1,963","2,873"
10/6/2021,"19,837","1,148,732","461,460","266,106","1,994","2,100"
11/6/2021,"18,916","1,224,105","464,075","273,755","3,217","4,869"
12/6/2021,"20,288","1,025,746","378,326","181,747","2,930","2,603"
13/6/2021,"21,288","830,655","325,634","145,346","3,120","5,121"
14/6/2021,"22,075","1,180,929","468,613","282,793","1,900","3,430"
15/6/2021,"20,694","1,212,571","457,695","280,635","2,221","2,171"
16/6/2021,"20,615","1,158,001","450,013","281,291","2,657","3,950"
17/6/2021,"20,552","1,122,252","455,144","283,617","2,280","2,469"
18/6/2021,"24,711","1,256,712","464,380","296,393","4,180","5,829"
19/6/2021,"21,385","1,062,264","382,620","204,890","3,689","3,262"
20/6/2021,"23,381","868,051","338,429","166,955","3,821","6,100"
21/6/2021,"22,796","1,250,083","471,654","293,454","2,627","4,171"
22/6/2021,"21,841","1,155,382","469,714","287,903","2,594","2,730"
23/6/2021,"21,167","1,190,991","469,869","288,652","2,979","4,120"
24/6/2021,"21,570","1,193,634","465,062","289,868","3,049","2,800"
25/6/2021,"25,066","1,245,534","466,054","291,311","5,061","6,010"
26/6/2021,"21,812","1,012,751","390,664","203,426","4,170","3,849"
27/6/2021,"22,386","827,118","322,887","164,494","4,464","6,162"
28/6/2021,"22,312","1,151,877","443,499","274,056","2,880","4,320"
29/6/2021,"20,806","1,095,807","445,947","265,737","2,750","2,815"
30/6/2021,"20,588","1,134,330","468,557","278,342","2,852","3,953"
1/7/2021,"19,426","1,192,258","469,768","268,501","3,253","2,902"
2/7/2021,"22,395","1,153,126","464,981","268,972","3,449","3,872"
3/7/2021,"19,464","897,217","369,858","171,921","2,895","2,733"
4/7/2021,"20,176","709,610","313,935","133,602","2,804","4,352"
5/7/2021,"19,907","1,114,699","460,383","259,497","2,518","2,860"
6/7/2021,"18,975","1,067,227","435,767","244,719","2,268","2,047"
7/7/2021,"17,828","1,050,863","435,684","245,144","2,272","2,604"
8/7/2021,"17,507","1,045,202","434,168","235,072","2,172","1,799"
9/7/2021,"17,845","1,112,193","423,831","233,005","3,674","3,095"
10/7/2021,"15,299","778,250","321,674","135,215","2,125","1,978"
11/7/2021,"15,756","607,924","265,130","106,402","2,539","3,095"
12/7/2021,"13,993","900,773","362,096","182,431","1,072","1,171"
13/7/2021,"10,181","881,480","349,725","162,826",837,826
14/7/2021,"10,015","875,805","342,758","166,323",997,829
15/7/2021,"9,424","885,887","353,833","171,549",739,762
16/7/2021,"9,801","919,214","350,490","171,352","1,135","1,068"
17/7/2021,"9,121","712,695","278,259","102,552",986,729
18/7/2021,"8,059","538,727","230,419","80,602","1,135","1,391"
19/7/2021,"9,264","882,459","361,701","173,170",570,906
20/7/2021,"8,498","901,987","332,708","151,029","1,220","1,241"
21/7/2021,"2,066","813,956","319,285","145,830",0,83
22/7/2021,920,"822,413","315,372","140,191",0,81
23/7/2021,"1,534","883,437","312,145","145,085",0,76
24/7/2021,"1,197","696,632","208,409","76,429",0,44
25/7/2021,870,"546,810","191,070","60,525",0,65
26/7/2021,980,"653,471","234,587","89,720",0,98
27/7/2021,"1,033","837,195","304,816","139,329",0,89
28/7/2021,871,"651,330","192,858","67,802",0,208
29/7/2021,"1,054","879,202","311,286","144,683",0,55
30/7/2021,"1,046","906,952","317,642","148,216",0,129
31/7/2021,954,"687,533","246,582","85,151",0,24
1/8/2021,838,"527,020","209,186","66,781",2,180
2/8/2021,"1,070","870,780","335,431","151,165",0,43
3/8/2021,"1,243","785,445","324,263","142,949",0,12
4/8/2021,"2,012","841,310","316,991","140,614",0,57
5/8/2021,"2,360","832,544","319,522","137,851",0,73
6/8/2021,"2,492","856,521","322,855","140,584",2,0
7/8/2021,"2,209","692,507","235,806","89,134",0,0
8/8/2021,"2,173","505,243","207,039","66,058",0,26
9/8/2021,"2,589","860,359","324,273","148,359",0,0
10/8/2021,"2,401","856,805","323,940","148,471",0,49
11/8/2021,"2,441","943,016","315,880","150,379",0,0
12/8/2021,"2,075","720,304","193,628","71,087",0,51
13/8/2021,"2,897","865,186","300,369","143,843",0,0
